 	tnxk,txwk
☮	zzzj
☯	rqkr,rqkm,rqks,zzbg
☰	fdlz
☱	vowe,aowe
☲	junu,june
☳	tjcy
☴	ppsa
☵	yrqt
☶	pggg
☷	yqst
☸	zzzj,cyta,cyfa
☹	zzkl,hbma
☺	zzxl,kjma
☻	zzxl,kjma
☼	rqpd,jnjs,zztw
☽	myjn,lhmi,zztw
☾	myjn,txmi,zztw
☿	xsdl,zztw
♀	ajdl,dnnn,zztw,zzxb
♁	ypef,zztw
♂	rhdl,qxlt,zztw,zzxb
♃	kmdl,zztw
♄	ytdl,zztw
♅	hedl,zztw
♆	cedl,zztw
♇	nedl,zztw
♈	bbyy,zzxz
♉	ajln,zzxz
♊	aazz,eezz,zzxz
♋	cjhp,zzxz
♌	gnzz,gjzz,zzxz
♍	mcdn,zzxz
♎	hrkt,zzxz
♏	hrgd,zzxz
♐	arsm,arem,zzxz
♑	jfyd,zzxz
♒	mekh,zzxz
♓	aaqy,eeqy,zzxz
♔	zzxq,ewww
♕	zzxq,jhok
♖	zzxq,tjjj,fjjj
♗	zzxq,hogv,hqgv
♘	zzxq,smmm,emmm
♙	zzxq,viab
♚	zzxq,ewww
♛	zzxq,jhok
♜	zzxq,tjjj,fjjj
♝	zzxq,hogv,hqgv
♞	zzxq,smmm,emmm
♟	zzxq,viab
♠	zzpk,imkw
♡	zzpk
♢	zzpk
♣	zzpk,klhv
♤	zzpk
♥	zzpk,wikw
♦	zzpk,ifyc
♧	zzpk
♨	zzcs,cdbx,cqbx
♩	zzyy
♪	zzyy
♫	zzyy
♬	zzyy
♭	zzyy
♮	zzyy
♯	zzyy
♲	zzts,qoud
♳	zzts,qoud
♴	zzts,qoud
♵	zzts,qoud
♶	zzts,qoud
♷	zzts,qoud
♸	zzts,qoud
♹	zzts,qoud
♺	zzts,qoud
♻	zzts,qoud
♼	zzts
♽	zzts
♾	zzsx
♿	zzbp,takr,fakr
⚀	zztz
⚁	zztz
⚂	zztz
