好	a	女子
𭔚	pbkl	宀土口辶
𭔛	pelo	宀三丨工
𭔜	pwjx	宀牜自木
𭔝	pjrb	宀心土
𭔞	pjol	宀心皿也
𭔟	pffc	宀王王貝
𭔠	pelo	宀三丨工
𭔡	pmpe	宀丿十非
𭔢	pxvh	宀木示儿
𭔣	prmk	宀艹丿口
𭔤	pjoh	宀心皿子
𭔥	pjov	宀心皿灬
𭔦	pjok	宀心皿口
𭔧	pjov	宀心皿丶
𭔨	pjoa	宀心皿女
𭔩	ldqq	万寸
𭔪	ihdq	匚儿寸
𭔫	oodq	工几寸
𭔬	umdo	丩夕寸
𭔭	bldq	土也寸
𭔮	vvdl	上下寸
𭔯	mmdm	夕夕寸
𭔰	odqq	豆寸
𭔱	hjmd	厂丿寸
𭔲	jjdo	己心寸
𭔳	ndll	旦寸也
𭔴	ipud	阝宀匕寸
𭔵	prbd	十艹土寸
𭔶	oodq	其乙寸
𭔷	abhd	⺈田儿寸
𭔸	iqkd	丷一口寸
𭔹	rqjd	艹一厶寸
𭔺	sjqd	亻目一寸
𭔻	cvdd	氵丶彐寸
𭔼	ivdd	阝丶彐寸
𭔽	itid	阝八寸
𭔾	rkbd	业口土寸
𭔿	iqud	八一冂寸
𭕀	buod	士冖豆寸
𭕁	njfd	日耳又寸
𭕂	kkcd	囗口貝寸
𭕃	udhb	寸厂土
𭕄	ivv	⺍
𭕅	ilvl	小乃丶
𭕆	ics	贝
𭕇	eiql	天小
𭕈	iddl	彐丁
𭕉	givl	立小
𭕊	iylv	小衣
𭕋	vami	礻勹丿小
𭕌	ignj	小立日心
𭕍	ihxm	八儿干
𭕎	hbql	⺎田
𭕏	hnyq	⺎日勿
𭕐	ynhv	亠旦尢丶
𭕑	hbqy	⺎田一
𭕒	yniv	亠日小丶
𭕓	pbhv	田尢丶
𭕔	huol	尸冂
𭕕	hxoq	尸本
𭕖	huoq	尸犮
𭕗	hulo	尸匕也
𭕘	hjol	尸目
𭕙	hdwl	尸扌二丨
𭕚	hblo	尸土也
𭕛	heol	尸虫
𭕜	hako	尸口
𭕝	hwwp	尸二二十
𭕞	hgvf	尸彳⺊又
𭕟	hulo	尸毛也
𭕠	hlrw	尸千艹二
𭕡	hwsg	尸二人㐄
𭕢	hvbl	尸丶土
𭕣	hdao	尸扌句
𭕤	hczo	尸貝刂
𭕥	hfjf	尸丆目夂
𭕦	nghv	旦龰尸丶
𭕧	huyo	尸毛衣
𭕨	hufk	尸毛夂口
𭕩	hkhj	尸白儿厶
𭕪	hbqy	尸一巾
𭕫	hggo	尸彳走
𭕬	hyrw	尸亠乂羊
𭕭	hwkw	尸二口⽱
𭕮	hmhu	尸古耂匕
𭕯	hhwl	尸儿二丨
𭕰	hrwp	尸艹二十
𭕱	huee	尸匕爫大
𭕲	jfhu	牙攵尸毛
𭕳	huzb	尸毛刀臼
𭕴	hlej	尸言亽龴
𭕵	hcyb	尸氵覀土
𭕶	hnbd	尸日甫寸
𭕷	hdmk	尸扌丿口
𭕸	hxxk	尸木木
𭕹	hmdm	尸古扌古
𭕺	huvn	尸毛火日
𭕻	hmes	尸古亼人
𭕼	hjjj	尸目目厶
𭕽	hmds	尸古扌人
𭕾	mrqm	丿屮一
𭕿	milv	丿凵丨丶
𭖀	iclo	山ス
𭖁	ielq	山三
𭖂	idlq	山于
𭖃	iavl	山丶
𭖄	ivlq	山下
𭖅	ihjl	山厂厶
𭖆	ihjl	山厂㔾
𭖇	igll	山止
𭖈	ijjl	山
𭖉	iuhl	山冖儿
𭖊	uiiv	冖八山
𭖋	iolq	山瓦
𭖌	inll	山旦
𭖍	itll	山且
𭖎	ixlm	山片
𭖏	isbl	山人土
𭖐	iyyl	山亠巾
𭖑	ijlv	山必
𭖒	ivfl	山丶王
𭖓	iiqp	山丷一十
𭖔	okio	力口山
𭖕	iifl	山匚王
𭖖	ifnl	山丆日
𭖗	ipfo	山十又力
𭖘	iflb	山丨土
𭖙	iihl	山⺎
𭖚	imml	山夕夕
𭖛	icil	山水凵
𭖜	csil	水人山
𭖝	iahl	山女子
𭖞	iuul	山幺幺
𭖟	iell	山大辶
𭖠	iban	山土勹冫
𭖡	imhl	山古儿
𭖢	iblq	山甫
𭖣	iuik	山冂八口
𭖤	ihwy	山⺁二巾
𭖥	ifiw	山夂二
𭖦	iilm	山谷
𭖧	icfl	山氵王
𭖨	ijif	山厶八夂
𭖩	ibix	山土丷干
𭖪	iaal	山龶母
𭖫	ikdk	山口丁口
𭖬	inmr	山日丿廾
𭖭	ivnl	山⺊早
𭖮	imgl	山丿辶
𭖯	iiem	丘山大
𭖰	iipu	山阝宀匕
𭖱	ihml	山尸古
𭖲	jlii	丨匚山
𭖳	ilal	山甘欠
𭖴	ioyl	山罒方
𭖵	ibuu	山田匕匕
𭖶	iijl	山少目
𭖷	iadj	山⺈彐心
𭖸	ikfl	山白攵
𭖹	ihpj	山⺁十目
𭖺	ieul	山亼羽
𭖻	imdj	山丿彐卩
𭖼	iluw	山千匕二
𭖽	tvim	禾火山
𭖾	iwhm	山⺷儿丿
𭖿	ijwn	山忄二日
𭗀	idxk	山扌斤口
𭗁	ixwn	山木二日
𭗂	iurh	山冂乂⺎
𭗃	isdi	山亻彐山
𭗄	ieuf	山爫幺夂
𭗅	ihul	山子系
𭗆	icol	山皿
𭗇	ibod	山士乙寸
𭗈	ihuj	山耂匕目
𭗉	izjl	山戊臣
𭗊	ivwa	山⺊二欠
𭗋	iiel	山小隹
𭗌	illl	山舌甘
𭗍	ignl	山立早
𭗎	wivl	鹿山
𭗏	ipji	山宀必山
𭗐	iojf	山乙耳攵
𭗑	ihnl	山尸雨
𭗒	igjf	山彳歹攵
𭗓	igff	山彳王攵
𭗔	ixel	山木隹
𭗕	ihqf	山厂一又
𭗖	iokl	山壴口
𭗗	iruu	山艹冖糸
𭗘	irwv	山业丶
𭗙	issj	山人人目
𭗚	isbd	山亻甫寸
𭗛	ieov	山爫灬
𭗜	iuaw	山糹⺈巴
𭗝	iell	山隹辶
𭗞	ihbm	山广田月
𭗟	iqnr	山一日乂
𭗠	ipnx	山十早干
𭗡	irbo	山艹土皿
𭗢	iwlw	山犭言犬
𭗣	iucl	山皮頁
𭗤	ibkl	山土口辶
𭗥	iyel	山覀大辶
𭗦	idgx	山扌木
𭗧	ihxb	山厂干臼
𭗨	ipzq	山十戈一
𭗩	iwio	山虍丘乙
𭗪	itkj	山禾白厶
𭗫	ihgf	山尸彳夂
𭗬	irkv	山廿口灬
𭗭	ikqf	山吅一攵
𭗮	innn	山日⻗云
𭗯	igqg	山彳鱼亍
𭗰	inug	山冫匕龰
𭗱	ifoi	阝工山
𭗲	iwoz	山虍豆戈
𭗳	irhp	山艹尸十
𭗴	iqwl	山魚羊
𭗵	ijjj	山耳耳耳
𭗶	irzj	山艹臣
𭗷	iipf	山凵十攵
𭗸	ipti	山十八
𭗹	iwww	山免免免
𭗺	cuoq	巛七
𭗻	qciq	一
𭗼	ciol	巛山
𭗽	ceoq	巛天
𭗾	crio	巛乂凵
𭗿	cvmo	巛⺊夕
𭘀	xxxv	丬丬丬
𭘁	jifc	厶八夂巛
𭘂	oooq	乙工
𭘃	ovqq	工下
𭘄	ohqq	工⺎
𭘅	oavq	工勹丶
𭘆	fssq	王人人
𭘇	ofkq	工夂口
𭘈	iieo	匚亽乙
𭘉	fobh	工臼儿
𭘊	ihjv	丷厂巳
𭘋	bjlo	由巳
𭘌	bjlo	由巳
𭘍	jjqo	臣己
𭘎	orij	工龷八㔾
𭘏	wdgo	巴扌立
𭘐	gmji	立月巳八
𭘑	syml	𠂋
𭘒	dyol	彐巾
𭘓	yhh	巾无
𭘔	ytpl	巾十
𭘕	yxlq	巾未
𭘖	ymlq	巾古
𭘗	ykfl	巾囗又
𭘘	yejl	巾亽龴
𭘙	ypul	巾宀匕
𭘚	yjkl	巾厶口
𭘛	yhvl	巾厂火
𭘜	yihl	巾⺎
𭘝	ypmu	巾宀丿七
𭘞	yfkl	巾夂口
𭘟	fyuq	巾发
𭘠	yjhl	巾目儿
𭘡	ykfl	巾口王
𭘢	tzym	禾刂巾
𭘣	tkyq	五口巾
𭘤	ywol	巾⺷几
𭘥	yckr	巾巛囗乂
𭘦	ycbl	巾巛田
𭘧	riuy	廿凵冖巾
𭘨	fyim	巾丷丿
𭘩	ynyl	巾旦勿
𭘪	ybml	巾田月
𭘫	ykyl	巾白勿
𭘬	gylv	巾也
𭘭	ypud	巾冖丁
𭘮	yily	巾丨巾
𭘯	fymm	巾月月
𭘰	ybdl	巾甫寸
𭘱	yjll	巾骨
𭘲	yrqp	巾艹一十
𭘳	gyqy	巾一
𭘴	yyul	巾衤皮
𭘵	yecl	巾貝
𭘶	ywwl	巾虍豕
𭘷	rafy	艹句攵巾
𭘸	kyky	白巾白巾
𭘹	fyrk	巾艹口
𭘺	cody	皿彐巾
𭘻	ypgo	巾宀癶豆
𭘼	yuso	巾冂人豆
𭘽	gyqr	巾一乂
𭘾	twpm	二十
𭘿	xbjq	干土厶
𭙀	xvkq	干⺊口
𭙁	xiyr	干丷亠乂
𭙂	tguu	ヰ匕匕
𭙃	xvdy	干丶彐
𭙄	tggk	ヰ立口
𭙅	tgkp	ヰ白十
𭙆	kmpg	白丿十ヰ
𭙇	irin	丷开丷日
𭙈	uooo	幺乙
𭙉	ouoo	乙幺
𭙊	udoq	幺丁
𭙋	uano	幺勹冫
𭙌	uuuo	幺幺乙
𭙍	hovm	广几
𭙎	hfvo	广又
𭙏	hhvo	广了
𭙐	htov	广乙
𭙑	hvnv	广丶⺀
𭙒	hhvo	广子
𭙓	hhvv	广尢丶
𭙔	hofv	广几又
𭙕	hdvm	广手
𭙖	hmev	广丿大
𭙗	hzqv	广弓一
𭙘	huev	广冂大
𭙙	hdom	广彐乙丿
𭙚	hezv	广大弓
𭙛	hihv	广⺎
𭙜	hqnr	广一日乂
𭙝	htav	广母
𭙞	heok	广亽乙口
𭙟	hsse	广人人大
𭙠	hgof	广彳几又
𭙡	hjov	广龴用
𭙢	hbhv	广臼儿
𭙣	hlrw	广千艹二
𭙤	hovq	广壴
𭙥	hqbd	广一由寸
𭙦	htnf	广日夂
𭙧	hdlv	广彐丨丶
𭙨	hqdl	广一彐辶
𭙩	hgof	广舟几又
𭙪	hyvs	广氏丶人
𭙫	hiqv	广丷一丶
𭙬	hwoj	广乙厶
𭙭	hwov	广工
𭙮	huul	广匕匕言
𭙯	hrcv	广龷貝
𭙰	hbkr	广士口业
𭙱	himf	广月攵
𭙲	hekv	广隹口
𭙳	hebv	广隹土
𭙴	hkov	广吅
𭙵	hnmw	广日月犬
𭙶	hemv	广隹月
𭙷	hgtf	广彳夂
𭙸	homg	广米夕㐄
𭙹	hifh	广阝夂生
𭙺	hriy	广廿凵巾
𭙻	hjzy	广歹刂衣
𭙼	hjjv	广臣巳灬
𭙽	tbjv	麻土厶
𭙾	hpoy	广十罒衣
𭙿	hrnw	广艹日⽱
𭚀	hxuf	广丬匕又
𭚁	hlny	广千日
𭚂	hgmu	广立月匕
𭚃	hhsn	广尸亻日
𭚄	httj	广禾禾心
𭚅	hxra	广木乂女
𭚆	hviv	广黑阝
𭚇	httf	广禾禾石
𭚈	hefn	广大丆日
𭚉	tusm	麻冂人月
𭚊	hxue	广丬匕鳥
𭚋	hnmd	广日月手
𭚌	hnbb	广日土土
𭚍	haac	广龶勹貝
𭚎	hwww	广羊羊
𭚏	hgee	广車虫虫
𭚐	hnmb	广日月土
𭚑	hsek	广亻隹口
𭚒	qoil	一乙八廴
𭚓	ylmo	廴
𭚔	ellq	三丨廴
𭚕	hlmo	生廴
𭚖	mbrm	丿㠯廾
𭚗	fzrv	王刀廾丶
𭚘	hzrm	生刀廾
𭚙	frih	王廾⺎
𭚚	tsdr	亻寸廾
𭚛	frkc	王廾白水
𭚜	kwrl	口馬廾
𭚝	gjrl	自艹
𭚞	jred	厶廾爫寸
𭚟	quqq	一弋一
𭚠	usqm	弋人
𭚡	uiqo	弋
𭚢	bifu	土八夂弋
𭚣	urnq	弋亚日
𭚤	qowo	一乙二工
𭚥	vovo	丶乙
𭚦	zhg	弓广
𭚧	zofo	弓几又
𭚨	uzoq	弓力
𭚩	zloq	弓甘
𭚪	zxvo	弓斤丶
𭚫	zsuo	弓人彡
𭚬	zbko	弓士口
𭚭	zlhu	弓丨尸匕
𭚮	zmko	弓夕口
𭚯	akzo	女口弓
𭚰	zuoo	弓羽
𭚱	ziyr	弓山亠乂
𭚲	zkxo	弓囗木
𭚳	ztub	弓冂土
𭚴	zpfj	弓宀厶
𭚵	zaio	弓女少
𭚶	zqil	弓一丷丨
𭚷	zkno	弓口日乙
𭚸	zteo	弓虫
𭚹	ztvi	弓中凵
𭚺	zcho	弓子力
𭚻	zcoq	弓頁
𭚼	zkvi	弓口中凵
𭚽	zmbp	弓丿田十
𭚾	izlj	丷弓丨龴
𭚿	ziqz	弓丷一刂
𭛀	zhqb	弓尸一土
𭛁	rzfl	业弓攵
𭛂	zchz	弓子弓
𭛃	zcoo	弓皿
𭛄	zvom	弓⺊乙月
𭛅	zqyr	弓一巾乂
𭛆	zeen	弓夫夫日
𭛇	znzo	弓冫弓用
𭛈	zykt	弓亠回且
𭛉	ziwl	弓丷豕辶
𭛊	izlw	丷弓丨豕
𭛋	cczl	貝貝弓
𭛌	zneb	弓冫三田
𭛍	dnom	彐卯
𭛎	dhuo	彐尸匕
𭛏	wkiq	彑口丷一
𭛐	dysp	彐亠人十
𭛑	wbsi	彑田人
𭛒	dugo	彐冖車
𭛓	oumm	用彡
𭛔	hkiu	厂白小彡
𭛕	luvj	丨彡丶
𭛖	juej	彡三
𭛗	uuxx	彡彡木木
𭛘	cnxu	巛日木彡
𭛙	rnxu	艹日木彡
𭛚	wrul	虍业彡
𭛛	gmun	立丿彡日
𭛜	glmm	彳千
𭛝	golq	彳乙丨一
𭛞	gzmo	彳予
𭛟	gbjm	彳土厶
𭛠	gkfm	彳口又
𭛡	gukm	彳冂口
𭛢	gksm	彳囗人
𭛣	giqr	彳丷一乂
𭛤	gzkm	彳刀口
𭛥	gokm	彳力口
𭛦	gmlm	彳丿之
𭛧	gxmq	彳耒
𭛨	gnam	彳冫欠
𭛩	gfim	彳王八
𭛪	ghjm	彳厂目
𭛫	gchm	彳子
𭛬	ggml	彳足
𭛭	gumm	彳系
𭛮	gplm	彳宀之
𭛯	gamm	彳龶月
𭛰	ggbj	彳亍土厶
𭛱	gfkm	彳丆回
𭛲	gnhf	彳日厂又
𭛳	geem	彳爫夫
𭛴	geur	彳亼冂艹
𭛵	gpim	彳小
𭛶	gfff	彳又又又
𭛷	gqkb	彳一口田
𭛸	gele	彳三丨大
𭛹	glfx	彳丨攵木
𭛺	gwym	彳虍巾
𭛻	gtvm	彳禾火
𭛼	gjmv	彳首
𭛽	gcom	彳皿
𭛾	gkfm	彳求攵
𭛿	gtaf	彳母攵
𭜀	glno	彳千日力
𭜁	grnf	彳龷日攵
𭜂	gifm	彳尚攵
𭜃	gvvo	彳火火力
𭜄	ggzf	彳癶弓又
𭜅	gssv	彳人人中
𭜆	grrx	彳艹廿木
𭜇	gtqk	彳一口
𭜈	ggmf	彳立月攵
𭜉	ghri	彳广龷八
𭜊	gwkc	彳⺧口頁
𭜋	wojq	二乙心
𭜌	jlvq	忄万
𭜍	mjjm	丿厶心
𭜎	wojq	二乙心
𭜏	jfuv	忄匕
𭜐	jtvq	忄五
𭜑	rjqv	龷心
𭜒	jhjv	忄厂㔾
𭜓	qkjq	一口心
𭜔	jhsv	忄厂人
𭜕	jrvq	忄开
𭜖	jmom	忄丿乙丿
𭜗	juyv	忄⺆亠
𭜘	yjjv	亠厶心
𭜙	biiv	土八小丶
𭜚	junv	忄弋冫
𭜛	jovl	忄皿
𭜜	jjvl	忄目
𭜝	rjlv	业心
𭜞	jmff	忄丿又
𭜟	jtvm	忄矢
𭜠	jsev	忄亻大
𭜡	jhjv	忄广厶
𭜢	jjrv	忄厶廾
𭜣	tdjm	彐心
𭜤	tilj	丨心
𭜥	mujm	夕心
𭜦	wkjq	二口心
𭜧	ibjv	丷土心
𭜨	jujq	歹匕心
𭜩	wnjq	二日心
𭜪	kfjl	囗夂心
𭜫	ejlv	虫心
𭜬	jnvl	忄早
𭜭	jayr	忄勹亠乂
𭜮	ieiv	丷夫小丶
𭜯	ncjv	冫水心
𭜰	pfjv	宀夂心
𭜱	jtov	忄矢乙
𭜲	jpuo	忄十冖力
𭜳	qlqj	一丨一心
𭜴	jzzz	忄刀刀刀
𭜵	ddjo	彐彐心
𭜶	bkqj	土口一心
𭜷	xjjq	木巳心
𭜸	jhhv	忄耂子
𭜹	oyjq	工勿心
𭜺	jijq	牙阝心
𭜻	jdxv	忄扌斤
𭜼	jcvl	忄貝
𭜽	jbov	忄田力
𭜾	jiiv	忄丘八
𭜿	jkqo	忄白一乙
𭝀	jyyv	忄氏巾
𭝁	gyjm	彳方心
𭝂	jehv	忄爫子
𭝃	juix	忄冖八干
𭝄	jiov	忄穴九
𭝅	jgpv	忄立十
𭝆	aajo	女欠心
𭝇	aizj	女八刀心
𭝈	jdmk	忄彐丿口
𭝉	urjo	纟屯心
𭝊	dvjo	彐火心
𭝋	jdvv	忄彐火
𭝌	eeoj	夫亽乙心
𭝍	evjq	大示心
𭝎	jevv	忄大示
𭝏	jqyv	忄一巾丶
𭝐	jigv	忄匚舟
𭝑	jnxv	忄日木
𭝒	ijlv	尚心
𭝓	nyjl	日勿心
𭝔	jtlv	忄且也
𭝕	jekj	忄亼口卩
𭝖	gzij	彳弓心
𭝗	jizj	忄八刀心
𭝘	yzjv	衤刀心
𭝙	cujv	氵皮心
𭝚	jyrw	忄亠乂二
𭝛	pvjv	宀示心
𭝜	iwlj	穴二丨心
𭝝	oqkj	乙一口心
𭝞	jisz	忄人戈
𭝟	jhmv	忄尸古
𭝠	pssv	十人人丶
𭝡	hnhj	厂日子心
𭝢	emmj	三丿丿心
𭝣	jfmi	忄月阝
𭝤	jijq	耳阝心
𭝥	xkzj	木口刂心
𭝦	xvfj	木丶王心
𭝧	jbwn	忄土二日
𭝨	jjjq	臣巳心
𭝩	jrmv	忄艹古
𭝪	jrmj	忄艹夕㔾
𭝫	kdyj	口彐心
𭝬	jwdv	忄虍
𭝭	jmjj	忄夕㔾心
𭝮	gdyj	彳彐心
𭝯	eojx	亽乙心本
𭝰	jasu	忄人匕
𭝱	skxj	亻口木心
𭝲	sloj	亻丨米心
𭝳	jlro	忄乃乂皿
𭝴	cljv	氵舌心
𭝵	pudj	冖丁心
𭝶	sfvj	亻夂火心
𭝷	jeni	忄大日小
𭝸	fnoj	丆日几心
𭝹	jhmd	忄尢寸
𭝺	jevv	忄示
𭝻	jcuv	忄糸
𭝼	jtjv	忄而心
𭝽	jklv	忄回辶
𭝾	ksoj	囗人皿心
𭝿	jnbd	忄日土寸
𭞀	edyj	爫彐心
𭞁	giqj	彳丷一心
𭞂	slfj	亻丨攵心
𭞃	gsdj	彳人于心
𭞄	jeuf	忄爫冖又
𭞅	jiel	忄丷天辶
𭞆	jyrf	忄六乂攵
𭞇	pudj	冖丁必
𭞈	ilkj	丨口心
𭞉	aovj	女九丶心
𭞊	hqvj	尸一火心
𭞋	jyjv	忄覀心
𭞌	uhoj	冖尸罒心
𭞍	lljq	甘舌心
𭞎	jquc	忄一弋貝
𭞏	jjkj	臣厶口心
𭞐	qldj	一丨彐心
𭞑	bfjq	甫攵心
𭞒	jhqr	忄厂一艹
𭞓	dejq	扌隹心
𭞔	rjri	亚心屮凵
𭞕	ntoj	日且力心
𭞖	jrdj	忄艹彐卩
𭞗	vwej	⺊二大心
𭞘	nnej	日日大心
𭞙	jnoo	忄日皿力
𭞚	jwfo	忄虍夂几
𭞛	jnto	忄日且力
𭞜	jini	忄少日小
𭞝	slfj	亻丨夂心
𭞞	jtqe	忄一隹
𭞟	jtzm	忄弓丿
𭞠	tkpj	囗十心
𭞡	jyik	忄亠丷口
𭞢	nsdv	冫人于丶
𭞣	jyim	忄亠丷古
𭞤	zfoj	矛夂力心
𭞥	jqlv	忄一丨丶
𭞦	qnkj	一日口心
𭞧	xuxj	木冂木心
𭞨	hsmj	厂屰月心
𭞩	jrkm	忄艹口月
𭞪	jrjv	忄亞心
𭞫	bixj	土丷干心
𭞬	jqlb	忄一丨田
𭞭	jhod	忄厂豆寸
𭞮	njfj	日耳又心
𭞯	jgii	忄匚
𭞰	jrgj	忄艹亡目
𭞱	rfkl	艹口也
𭞲	iukj	小冂口心
𭞳	npij	日小心
𭞴	jrwv	忄业丶
𭞵	jiyd	忄丷西寸
𭞶	jedz	忄亽彐刂
𭞷	jelv	忄隹辶
𭞸	cgyj	氵巾心
𭞹	jrev	忄龷隹
𭞺	jjjv	忄臣巳灬
𭞻	jfol	忄工辶
𭞼	jycv	忄覀貝
𭞽	jnoj	忄日罒心
𭞾	jruw	忄冖豕
𭞿	yjtf	勿心夂
𭟀	ovkv	米⺊口丶
𭟁	jyrh	忄亠乂儿
𭟂	iyqj	丷西一心
𭟃	jphe	忄宀儿隹
𭟄	luuj	言幺幺心
𭟅	jyvd	忄覀示寸
𭟆	jrnj	忄艹日目
𭟇	jrek	忄艹亽口
𭟈	jruv	忄艹冂丶
𭟉	jpfk	忄門夂口
𭟊	jpcw	忄户巛巴
𭟋	pjoj	宀心皿心
𭟌	cgxj	氵車斤心
𭟍	jzvj	忄戊上心
𭟎	jeec	忄夫夫貝
𭟏	jcjq	臣頁心
𭟐	jboc	忄士罒貝
𭟑	jydj	忄覀龵目
𭟒	jrnn	忄艹日日
𭟓	jvbv	忄黑土
𭟔	wiaj	虍丘欠心
𭟕	cgoj	氵癶豆心
𭟖	jyjw	忄亠豕
𭟗	jyif	忄亠丷攵
𭟘	jndm	忄⻗龵月
𭟙	jnev	忄⻗隹
𭟚	iukj	冖口心
𭟛	nbgj	日土立心
𭟜	bjkj	田心口心
𭟝	jaml	心龶月丨
𭟞	jgvj	忄立中心
𭟟	obij	罒土丷心
𭟠	eksj	亼吅人心
𭟡	vkxj	火品木心
𭟢	hnmj	疒日月心
𭟣	jzvg	忄戊上足
𭟤	jroj	忄艹罒目
𭟥	jpio	忄門山豆
𭟦	yssj	亠人人心
𭟧	jyum	忄覀革月
𭟨	jjjg	忄目目亍
𭟩	jeem	忄隹隹
𭟪	gnuj	立早匕心
𭟫	jude	忄寸鳥
𭟬	jtge	忄立三
𭟭	jlqo	忄丨一豆
𭟮	zqqq	戈一
𭟯	bzqq	土戈
𭟰	zgql	戈止
𭟱	ihzv	丷厂戈
𭟲	sszm	人人戈
𭟳	ukzl	冂口戈
𭟴	zvnq	戈上日
𭟵	zaoq	戈⺈用
𭟶	komv	口乙月丶
𭟷	ovoz	乙丶乙戈
𭟸	qows	一乙二人
𭟹	izxb	丷戈丬㠯
𭟺	quun	一幺幺日
𭟻	zkqq	戈口一一
𭟼	wizl	虍丘戈
𭟽	wiqz	羊丷一戈
𭟾	qldz	一丨彐戈
𭟿	pomo	戶乙
𭠀	pomq	戶工
𭠁	pyvv	户六
𭠂	pokm	戶乙口
𭠃	pffv	戶又丶
𭠄	pmmq	戶古
𭠅	pmff	户丿又
𭠆	pajm	戶勹巳
𭠇	pkbm	戶口田
𭠈	pyyv	户方方
𭠉	peji	戶亽龴山
𭠊	puuv	户羽皮
𭠋	purx	户羽乂朩
𭠌	purl	户冂艹辶
𭠍	zqo	
𭠎	dfqo	扌又
𭠏	dvmq	手下
𭠐	domo	扌乙丿乙
𭠑	deqq	扌大一
𭠒	dmom	扌丿乙丿
𭠓	dizm	手八刀
𭠔	deom	手亽乙
𭠕	dtpm	手十
𭠖	dobm	手乙土
𭠗	dfkq	扌口
𭠘	dkfq	扌口又
𭠙	drql	扌业
𭠚	dofo	扌几又乙
𭠛	dsxq	扌人干
𭠜	dsbq	扌人土
𭠝	daso	扌勹人乙
𭠞	duom	手幺力
𭠟	doqk	扌乙一口
𭠠	qwmv	一二丿卜
𭠡	dikq	扌丷口
𭠢	ddnq	扌丁云
𭠣	dqub	扌一冂土
𭠤	dzzq	扌戈刂
𭠥	dfmq	扌月
𭠦	dexq	扌大干
𭠧	jzdq	歹刂手
𭠨	debq	扌大土
𭠩	drzq	扌开刂
𭠪	djqm	扌自
𭠫	dekm	手亼口
𭠬	dmkq	扌夕口
𭠭	dtuq	扌冂一
𭠮	drff	扌乂又
𭠯	didq	扌阝寸
𭠰	dufm	手丩攵
𭠱	dzzz	扌刀刀刀
𭠲	duom	手纟工
𭠳	dmhm	手古儿
𭠴	dfrm	手王廾
𭠵	dzuq	扌戈幺
𭠶	dbjq	扌士心
𭠷	duub	扌匕匕土
𭠸	demd	手三丿寸
𭠹	dqyl	扌一巾廴
𭠺	djhm	手目儿
𭠻	dkoz	手口力刂
𭠼	diwq	扌山巴
𭠽	diur	扌山冂乂
𭠾	dmbq	扌月土
𭠿	dsgq	扌亻立
𭡀	dmeq	扌丿虫
𭡁	dauy	扌⺈冖巾
𭡂	dxmq	扌片夕
𭡃	dloq	扌舌乙
𭡄	dgpq	扌立十
𭡅	dioq	扌穴力
𭡆	dhiq	扌广
𭡇	dzim	手阝
𭡈	ddgq	扌彐龰
𭡉	dbmy	扌土丿
𭡊	dbji	扌土厶阝
𭡋	xfdq	木攵手
𭡌	dqbo	扌一由乙
𭡍	depv	龵三十下
𭡎	dnuu	手日匕匕
𭡏	dbhv	扌田儿丶
𭡐	duig	扌冂丷亡
𭡑	dkon	扌口乙日
𭡒	dkoq	扌吅几
𭡓	dxfq	扌斤攵
𭡔	dahw	扌⺈厂巴
𭡕	dxlq	扌斤辶
𭡖	dsyq	扌人衣
𭡗	dfvk	扌夂卜口
𭡘	dizc	扌八刀贝
𭡙	dpmm	手户月
𭡚	dcbj	扌氵土厶
𭡛	djhq	扌㐫儿
𭡜	dpnq	扌宀申
𭡝	dhci	扌了凵
𭡞	dbbd	扌土土寸
𭡟	dbjy	扌土厶
𭡠	dxvq	扌木示
𭡡	daaq	扌龶母
𭡢	dekr	扌大口廾
𭡣	njdl	曰目手
𭡤	dczm	手貝刂
𭡥	doyq	扌罒方
𭡦	dnhq	扌日生
𭡧	dnnq	扌日卯
𭡨	dbuu	扌田匕匕
𭡩	dslq	扌亻言
𭡪	dtnf	扌日夂
𭡫	dweq	扌犭虫
𭡬	dleq	扌亦大
𭡭	dclq	扌氵舌
𭡮	dnpn	扌⺀十申
𭡯	dxfn	扌爿夂⺀
𭡰	ddjh	手彐儿
𭡱	dhwq	扌尸羊
𭡲	dfjf	扌丆目夂
𭡳	dgjq	扌走己
𭡴	dzoq	扌㦮皿
𭡵	drjq	扌亚心
𭡶	drnq	扌艹早
𭡷	drzv	扌艹戊丶
𭡸	dvng	扌⺊日龰
𭡹	dnnq	扌旦甲
𭡺	duiz	扌冂丷刂
𭡻	dtme	手丿大
𭡼	duvb	手丶田
𭡽	dtxu	扌禾丬匕
𭡾	dnoq	扌气米
𭡿	dlyq	扌舌
𭢀	dpax	扌宀女木
𭢁	dolq	扌米辶
𭢂	dhsb	扌广人土
𭢃	dcia	扌氵少女
𭢄	dzzm	扌刀刀月
𭢅	jold	乙丨手
𭢆	dtky	扌口
𭢇	dpno	手十早乙
𭢈	dhut	扌耂匕且
𭢉	dwiq	扌虍丘
𭢊	dfel	手夂三辶
𭢋	dgoq	扌舟皿
𭢌	dslx	扌亻丨朩
𭢍	dtzx	扌禾刂木
𭢎	dslm	扌亻丨月
𭢏	diev	扌丷夫示
𭢐	died	扌丷手
𭢑	dwjm	手目
𭢒	dltp	扌言十
𭢓	dgnq	扌立早
𭢔	dydy	扌亠丁
𭢕	dwoq	扌⺷皿
𭢖	dlfq	扌言攵
𭢗	deen	扌夫夫日
𭢘	domq	扌其月
