字符,拆分
揄,扌亼月刂
掎,扌大丁口
掭,扌天
搿,龵亼口手
择,扌又二丨
摊,扌又隹
拓,扌石
搔,扌又丶虫
掇,扌又又又
搡,扌又又木
接,扌立女
撞,扌立日土
搬,扌舟几又
扯,扌止
撤,扌月攵
捉,扌足
揆,扌癶天
掊,扌立口
揞,扌立日
据,扌尸古
挑,扌儿
振,扌厂二
握,扌尸一土
扰,扌尢丶
抚,扌无
掘,扌尸屮凵
扳,扌⺁又
拯,扌了一
拷,扌耂一乙
撅,扌厂屰欠
掂,扌广⺊口
扼,扌厂㔾
搪,扌广彐口
摒,扌尸丷开
摭,扌广廿灬
搌,扌尸龷
搋,扌⺁虍几
捱,扌厂土土
擗,扌尸口十
控,扌穴工
拼,扌丷开
撑,扌尚手
拌,扌丷二丨
挡,扌彐
抄,扌少
扒,扌八
拒,扌匚
扮,扌八刀
肃,彐小
搅,扌⺍冖儿
拦,扌丷三
抠,扌匚乂
掰,龵八刀手
掷,扌丷天阝
摧,扌山隹
揣,扌山而
捎,扌月
掸,扌丷
抉,扌人
撺,扌穴口中
撙,扌丷西寸
揠,扌匚日女
搛,扌丷一
报,扌卩又
摄,扌耳又又
既,彐匚儿
暨,彐匚旦
抬,扌厶口
挨,扌厶矢
揽,扌儿
捅,扌龴用
撰,扌巳巳八
掺,扌厶大彡
擤,扌自田
攫,扌目目又
揶,扌耳阝
彐,彐
拚,扌厶廾
拍,扌白
歌,丁口丁欠
哥,丁口丁口
损,扌口贝
操,扌品木
扣,扌口
拐,扌口力
捐,扌口月
捆,扌囗木
摁,扌囗大心
揖,扌口耳
捌,扌口力刂
掼,扌囗十贝
挹,扌口巴
掴,扌囗王丶
捭,扌白丿十
插,扌千臼
扔,扌乃
括,扌舌
捶,扌千艹二
迂,于辶
扦,扌千
肀,彐丨
挺,扌丿士廴
群,彐丿口羊
托,扌丿七
君,彐丿口
郡,彐丿口阝
尹,彐丿
挢,扌丿大
提,扌旦龰
抖,扌⺀十
捏,扌日土
揭,扌日勹乙
抑,扌卬
押,扌甲
拽,扌日乙丿
撮,扌日耳又
擂,扌⻗田
捍,扌日干
