字符,拆分,拆分臺灣,拆分兼一,拆分兼二,拆分兼三,拆分兼四
㐻,亻冂人,亻冂丿乀,,,,
㐼,亻丿廾,,,,,
㐽,亻⺇㐅,,,,,
㐾,亻一兀,,,,,
㐿,亻手,,,,,
㑀,亻大丶,,,,,
㑁,亻屮凵,,,,,
㑂,亻一冂人,,,,,
㑃,亻幺力,,,,,
㑄,亻母,,,,,
㑅,亻𠂉⺊一,,,,,
㑆,亻口儿,,,,,
㑇,亻⺈⺕,,,,,
㑈,亻〈东上〉小,,,,,
㑉,亻⺇一夕,,,,,
㑊,亻亠〈亦下〉,,,,,
㑋,亻日〢,,,,,
㑌,亻匚王,,,,,
㑍,亻二木,亻丿未,,,,
㑎,亻巛山,,,,,
㑏,亻宀寸,,,,,
㑐,亻⺊一小,,,,,
㑑,亻自,,,,,
㑒,亼口人,,,,,
㑓,亻厶𠂇又,,,,,
㑔,亻页,,,,,
㑕,亻山夕,,,,,
㑖,亻亻中,,,,,
㑗,亻身,,,,,
㑘,亻戈廾,,,,,
㑙,亻耳乚,,,,,
㑚,亻𠃌〈龵下〉阝,,,,,
㑛,亻木口,,,,,
㑜,亻扌斤,,,,,
㑝,亻王廾,,,,,
㑞,亻火廾,,,,,
㑟,亻〈亻〉工八,,,,,
㑠,亻〢又土,,,,,
㑡,亻〈即左〉卩,,,,,
㑢,亻土厶卩,,,,,
㑣,亻木木,,,,,
㑤,亻艹田,,,,,
㑥,亻日勹〈丿丿〉,,,,,
㑦,亻户犬,亻戶犬,,,,
㑧,亻禾子,,,,,
㑨,亻口𠂉大,,,,,
㑩,亻罒夕,,,,,
㑪,亻文〈斉下〉,,,,,
㑫,亻亽㇇心,亻亼㇇心,,,,
㑬,亻女古,,,,,
㑭,亻田一〈丿丨〉,,,,,
㑮,亻冖車,,,,,
㑯,亻頁,,,,,
㑰,亻彑〈豕下〉,,,,,
㑱,亻矛木,,,,,
㑲,亻十冂䒑十,,,,,
㑳,亻勹〈艸左〉勹〈艸左〉,,,,,
㑴,亻⺕冖巾又,,,,,
㑵,亻疒𠂉大,,,,,
㑶,亻气米,,,,,
㑷,亻厶⺝匕匕,亻厶⺼匕匕,,,,
㑸,亻古丁口,,,,,
㑹,亼由日,,,,,
㑺,亻隹𠄎丿,,,,,
㑻,亻宀心丿山,,,,,
㑼,亻田夂口,,,,,
㑽,亻⺌冖口土,,,,,
㑾,亻〈炙上〉言,,,,,
㑿,亻巛日木,,,,,
㒀,亻〈立上〉冂古,,,,,
㒁,亻囗土䒑十,,,,,
㒂,亻艹耂日,,,,,
㒃,亻弋二貝,,,,,
㒄,亻〈炙上〉犬灬,,,,,
㒅,亻亠夕夕𧘇,,,,,
㒆,亻亼口习习,,,,,
㒇,亻𠂉〈無中〉灬,,,,,
㒈,亻𠃍耳攵,亻丅耳攵,,,,
㒉,亻⺌冖口木,,,,,
㒊,亻刀丶刀丶止止,,,,,
㒋,亻其斤,,,,,
㒌,亻火火冖几,,,,,
㒍,亻厶厶厶糸,,,,,
㒎,亻一大非,,,,,
㒏,亻宀〈冓上〉八⺀,,,,,
㒐,亻⺮勹日,,,,,
㒑,亻匚氵隹,,,,,
㒒,亻业䒑未,,,,,
㒓,亻土羊辶,,,,,
㒔,亻罒勹虫,,,,,
㒕,亻亠乡隹,,,,,
㒖,亻艹日〈禺下〉,,,,,
㒗,亻卄二冖至,,,,,
㒘,亻臣又立,,,,,
㒙,亻糹白巾,,,,,
㒚,亻爫工⺕心,,,,,
㒛,亻习习隹,,,,,
㒜,亻〈臼〉丂丨八,亻〈臼〉丂丿八,,,,
㒝,亻艹罒戈人,亻卝罒戈人,,,,
㒞,亻山隹〈雋下〉,,,,,
㒟,亻亠馬𧘇,,,,,
㒠,亻⺊夕又非一,,,,,
㒡,亻爫𠂉十凵丿糸,亻〈炙上〉𠂉十凵丿糸,,,,
㒢,亻亼口口口冂卄,,,,,
㒣,亻广亻隹心,,,,,
㒤,亻耳耳耳,,,,,
㒥,亻山丰丰一〈壴下〉,,,,,
㒦,亻田田田土,,,,,
㒧,亻文凵冂厶隹,,,,,
㒨,亻⺽〈囟框〉㐅大巳,亻⺽丿同大巳,,,,
㒩,亻彑〈豕下〉虫虫,,,,,
㒪,人臣臣止豕,,,,,
㒫,〈㒫上〉儿,,,,,
㒬,一兀王,,,,,
